ANGLICAN HIGH SCHOOL,EAST 4,600 UPPER CHANGI ROAD,487012
BEDOK NORTH SECONDARY SCHOOL,EAST 4,20 JALAN DAMAI,419612
CHANGKAT CHANGI SECONDARY SCHOOL,EAST 4,23 SIMEI ST 3,529894
CHANGKAT PRIMARY SCHOOL,EAST 4,11 SIMEI ST 3,529896
CHUNG CHENG HIGH SCHOOL (MAIN),EAST 4,50 GOODMAN ROAD,439012
DAMAI PRIMARY SCHOOL,EAST 4,50 BEDOK RESERVOIR CRESCENT,479225
DAMAI SECONDARY SCHOOL,EAST 4,4800 BEDOK RESERVOIR ROAD,479229
DUNMAN HIGH SCHOOL,EAST 4,10 TANJONG RHU ROAD,436895
EUNOS PRIMARY SCHOOL,EAST 4,95 JALAN EUNOS Eunos Primary School,419529
KONG HWA SCHOOL,EAST 4,350 GUILLEMARD ROAD,399772
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,EAST 4,1602 BEDOK NORTH AVE 4,469701
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,EAST 4,1600 BEDOK NORTH AVENUE 4,469700
TELOK KURAU PRIMARY SCHOOL,EAST 4,50 BEDOK RESERVOIR RD,479239
BROADRICK SECONDARY SCHOOL,EAST 5,61 DAKOTA CRESCENT,399935
CANOSSA CONVENT PRIMARY SCHOOL,EAST 5,1 Sallim Road,387621
GEYLANG METHODIST SCHOOL (PRIMARY),EAST 5,4 Geylang East Central,389706
GEYLANG METHODIST SCHOOL (SECONDARY),EAST 5,2 GEYLANG EAST CENTRAL,389705
HAIG GIRLS' SCHOOL,EAST 5,860 NEW UPPER CHANGI ROAD,467353
MACPHERSON PRIMARY SCHOOL,EAST 5,2 MATTAR ROAD,387724
MACPHERSON SECONDARY SCHOOL,EAST 5,121 CIRCUIT ROAD,379499
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),EAST 5,298 LORONG AH SOO,536741
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),EAST 5,296 LOR AH SOO,536742
TANJONG KATONG GIRLS' SCHOOL,EAST 5,20 DUNMAN LANE,439272
TANJONG KATONG PRIMARY SCHOOL,EAST 5,10 SERAYA ROAD,437259
TANJONG KATONG SECONDARY SCHOOL,EAST 5,130 HAIG ROAD,438796
CASUARINA PRIMARY SCHOOL,EAST 6,30 PASIR RIS ST 41,518935
EAST VIEW SECONDARY SCHOOL,EAST 6,3 TAMPINES STREET 42,529177
NGEE ANN SECONDARY SCHOOL,EAST 6,1 TAMPINES STREET 32,529283
PARK VIEW PRIMARY SCHOOL,EAST 6,60 PASIR RIS DRIVE 1,519524
PASIR RIS PRIMARY SCHOOL,EAST 6,5 PASIR RIS STREET 21,518968
PASIR RIS SECONDARY SCHOOL,EAST 6,390 TAMPINES STREET 21,529400
ST. HILDA'S PRIMARY SCHOOL,EAST 6,2 Tampines Ave 3,529706
ST. HILDA'S SECONDARY SCHOOL,EAST 6,2 TAMPINES STREET 82,528986
TAMPINES JUNIOR COLLEGE,EAST 6,2 TAMPINES AVENUE 9,529564
TAMPINES NORTH PRIMARY SCHOOL,EAST 6,30 TAMPINES AVENUE 9,529565
TAMPINES PRIMARY SCHOOL,EAST 6,250 TAMPINES STREET 12,529426
TAMPINES SECONDARY SCHOOL,EAST 6,252 TAMPINES ST 12,529427
WHITE SANDS PRIMARY SCHOOL,EAST 6,2 PASIR RIS ST 11,519075
CEDAR GIRLS' SECONDARY SCHOOL,EAST 7,1 CEDAR AVENUE,349692
CHIJ (KATONG) PRIMARY,EAST 7,17 MARTIA ROAD,424821
CHIJ KATONG CONVENT,EAST 7,3 GEYLANG BAHRU LANE,339626
EAST COAST PRIMARY SCHOOL,EAST 7,8 CHAI CHEE LANE,469031
MAHA BODHI SCHOOL,EAST 7,10 UBI AVENUE 1,408931
MANJUSRI SECONDARY SCHOOL,EAST 7,20 UBI AVENUE 1,408940
NGEE ANN PRIMARY SCHOOL,EAST 7,344 MARINE TERRACE,449149
OPERA ESTATE PRIMARY SCHOOL,EAST 7,48 FIDELIO STREET,458436
PING YI SECONDARY SCHOOL,EAST 7,61 CHAI CHEE STREET,468980
ST. PATRICK'S SCHOOL,EAST 7,490 EAST COAST ROAD,429058
ST. STEPHEN'S SCHOOL,EAST 7,20 SIGLAP VIEW,455789
TAO NAN SCHOOL,EAST 7,49 MARINE CRESCENT,449761
VICTORIA JUNIOR COLLEGE,EAST 7,20 MARINE VISTA,449035
VICTORIA SCHOOL,EAST 7,2 SIGLAP LINK,448880
CORAL PRIMARY SCHOOL,EAST 1,20 PASIR RIS ST 51,518902
CORAL SECONDARY SCHOOL,EAST 1,31 PASIR RIS STREET 51,518901
ELIAS PARK PRIMARY SCHOOL,EAST 1,11 PASIR RIS STREET 52,518866
GREENVIEW SECONDARY SCHOOL,EAST 1,15 PASIR RIS STREET 21,518969
HAI SING CATHOLIC SCHOOL,EAST 1,9 PASIR RIS DRIVE 6,519421
LOYANG PRIMARY SCHOOL,EAST 1,3 PASIR RIS DRIVE 6,519419
LOYANG SECONDARY SCHOOL,EAST 1,12 PASIR RIS STREET 11,519073
MERIDIAN JUNIOR COLLEGE,EAST 1,21 Pasir Ris Street 71,518799
MERIDIAN PRIMARY SCHOOL,EAST 1,20 PASIR RIS ST 71,518798
PASIR RIS CREST SECONDARY SCHOOL,EAST 1,11 PASIR RIS STREET 41,518934
POI CHING SCHOOL,EAST 1,21 TAMPINES STREET 71,529067
PUNGGOL COVE PRIMARY SCHOOL,EAST 1,52 Sumang Walk,828674
PUNGGOL GREEN PRIMARY SCHOOL,EAST 1,98 Punggol Walk,828772
PUNGGOL VIEW PRIMARY SCHOOL,EAST 1,9 Punggol Place,828845
BEDOK GREEN PRIMARY SCHOOL,EAST 2,1 BEDOK SOUTH AVE 2,469317
BEDOK GREEN SECONDARY SCHOOL,EAST 2,360 BEDOK NORTH AVE 3,469722
BEDOK SOUTH SECONDARY SCHOOL,EAST 2,1 JALAN LANGGAR BEDOK,468585
BEDOK VIEW SECONDARY SCHOOL,EAST 2,6 BEDOK SOUTH AVENUE 3,469293
EAST VIEW PRIMARY SCHOOL,EAST 2,4 TAMPINES STREET 91,528907
FENGSHAN PRIMARY SCHOOL,EAST 2,307 BEDOK NORTH ROAD,469680
JUNYUAN PRIMARY SCHOOL,EAST 2,2 Tampines Street 91,528906
RED SWASTIKA SCHOOL,EAST 2,350 BEDOK NORTH AVENUE 3,469719
TEMASEK JUNIOR COLLEGE,EAST 2,22 BEDOK SOUTH ROAD,469278
TEMASEK PRIMARY SCHOOL,EAST 2,501 BEDOK SOUTH AVE 3,469300
TEMASEK SECONDARY SCHOOL,EAST 2,600 UPPER EAST COAST ROAD,465561
YU NENG PRIMARY SCHOOL,EAST 2,56 BEDOK NORTH ST 3,469623
ANGSANA PRIMARY SCHOOL,EAST 3,3 Tampines Street 22,529366
CHONGZHENG PRIMARY SCHOOL,EAST 3,1 TAMPINES STREET 21,529392
DUNMAN SECONDARY SCHOOL,EAST 3,21 TAMPINES STREET 45,529093
EAST SPRING PRIMARY SCHOOL,EAST 3,31 TAMPINES ST 33,529258
EAST SPRING SECONDARY SCHOOL,EAST 3,30 TAMPINES STREET 34,529231
GONGSHANG PRIMARY SCHOOL,EAST 3,1 TAMPINES STREET 42,529176
JUNYUAN SECONDARY SCHOOL,EAST 3,11 TAMPINES STREET 84,528933
OASIS PRIMARY SCHOOL,EAST 3,71 Edgefield Plains,828716
SENGKANG GREEN PRIMARY SCHOOL,EAST 3,15 Fernvale Road,797636
SIGLAP SECONDARY SCHOOL,EAST 3,10 PASIR RIS DRIVE 10,519385
SPRINGDALE PRIMARY SCHOOL,EAST 3,71 Anchorvale Link,544799
SPRINGFIELD SECONDARY SCHOOL,EAST 3,30 TAMPINES AVENUE 8,529593
WATERWAY PRIMARY SCHOOL,EAST 3,70 Punggol Drive,828802
YUMIN PRIMARY SCHOOL,EAST 3,3 TAMPINES STREET 21,529393
