ANGLICAN HIGH SCHOOL,EAST 4,600 UPPER CHANGI ROAD,487012,1.3300645,103.9417577
ANGSANA PRIMARY SCHOOL,EAST 3,3 Tampines Street 22,529366,1.348785,103.951188
BEDOK GREEN PRIMARY SCHOOL,EAST 2,1 BEDOK SOUTH AVE 2,469317,1.3240565,103.9378306
BEDOK GREEN SECONDARY SCHOOL,EAST 2,360 BEDOK NORTH AVE 3,469722,1.334061,103.9358583
BEDOK NORTH SECONDARY SCHOOL,EAST 4,20 JALAN DAMAI,419612,1.33481335,103.91022
BEDOK SOUTH SECONDARY SCHOOL,EAST 2,1 JALAN LANGGAR BEDOK,468585,1.3252203,103.9506916
BEDOK VIEW SECONDARY SCHOOL,EAST 2,6 BEDOK SOUTH AVENUE 3,469293,1.32474105,103.9435085
BROADRICK SECONDARY SCHOOL,EAST 5,61 DAKOTA CRESCENT,399935,1.30726495,103.8868851
CANOSSA CONVENT PRIMARY SCHOOL,EAST 5,1 Sallim Road,387621,1.3264927,103.8817673
CASUARINA PRIMARY SCHOOL,EAST 6,30 PASIR RIS ST 41,518935,1.3729952,103.9572333
CEDAR GIRLS' SECONDARY SCHOOL,EAST 7,1 CEDAR AVENUE,349692,1.3342405,103.8742777
CHANGKAT CHANGI SECONDARY SCHOOL,EAST 4,23 SIMEI ST 3,529894,1.3404936,103.9529812
CHANGKAT PRIMARY SCHOOL,EAST 4,11 SIMEI ST 3,529896,1.33982335,103.9522753
CHIJ (KATONG) PRIMARY,EAST 7,17 MARTIA ROAD,424821,1.3064549,103.9108257
CHIJ KATONG CONVENT,EAST 7,3 GEYLANG BAHRU LANE,339626,1.3071979,103.9176473
CHONGZHENG PRIMARY SCHOOL,EAST 3,1 TAMPINES STREET 21,529392,1.35054425,103.9509206
CHUNG CHENG HIGH SCHOOL (MAIN),EAST 4,50 GOODMAN ROAD,439012,1.30536395,103.8917511
CORAL PRIMARY SCHOOL,EAST 1,20 PASIR RIS ST 51,518902,1.36843385,103.9510047
CORAL SECONDARY SCHOOL,EAST 1,31 PASIR RIS STREET 51,518901,1.36757525,103.9489438
DAMAI PRIMARY SCHOOL,EAST 4,50 BEDOK RESERVOIR CRESCENT,479225,1.33547405,103.9213293
DAMAI SECONDARY SCHOOL,EAST 4,4800 BEDOK RESERVOIR ROAD,479229,1.33770855,103.9268309
DUNMAN HIGH SCHOOL,EAST 4,10 TANJONG RHU ROAD,436895,1.29875115,103.8821635
DUNMAN SECONDARY SCHOOL,EAST 3,21 TAMPINES STREET 45,529093,1.36116845,103.9560139
EAST COAST PRIMARY SCHOOL,EAST 7,8 CHAI CHEE LANE,469031,1.3295133,103.919902
EAST SPRING PRIMARY SCHOOL,EAST 3,31 TAMPINES ST 33,529258,1.3528929,103.9618857
EAST SPRING SECONDARY SCHOOL,EAST 3,30 TAMPINES STREET 34,529231,1.35697385,103.9610806
EAST VIEW PRIMARY SCHOOL,EAST 2,4 TAMPINES STREET 91,528907,1.34709975,103.9397573
EAST VIEW SECONDARY SCHOOL,EAST 6,3 TAMPINES STREET 42,529177,1.3581717,103.9493169
ELIAS PARK PRIMARY SCHOOL,EAST 1,11 PASIR RIS STREET 52,518866,1.37491195,103.9451758
EUNOS PRIMARY SCHOOL,EAST 4,95 JALAN EUNOS Eunos Primary School,419529,1.32463215,103.9045853
FENGSHAN PRIMARY SCHOOL,EAST 2,307 BEDOK NORTH ROAD,469680,1.3300987,103.9318825
GEYLANG METHODIST SCHOOL (PRIMARY),EAST 5,4 Geylang East Central,389706,1.318445,103.8841431
GEYLANG METHODIST SCHOOL (SECONDARY),EAST 5,2 GEYLANG EAST CENTRAL,389705,1.318638,103.883071
GONGSHANG PRIMARY SCHOOL,EAST 3,1 TAMPINES STREET 42,529176,1.3573263,103.9493111
GREENVIEW SECONDARY SCHOOL,EAST 1,15 PASIR RIS STREET 21,518969,1.36927135,103.9631139
HAI SING CATHOLIC SCHOOL,EAST 1,9 PASIR RIS DRIVE 6,519421,1.3745734,103.9551579
HAIG GIRLS' SCHOOL,EAST 5,860 NEW UPPER CHANGI ROAD,467353,1.31173415,103.902673
JUNYUAN PRIMARY SCHOOL,EAST 2,2 Tampines Street 91,528906,1.347782,103.9394047
JUNYUAN SECONDARY SCHOOL,EAST 3,11 TAMPINES STREET 84,528933,1.3531182,103.9335104
KONG HWA SCHOOL,EAST 4,350 GUILLEMARD ROAD,399772,1.3111953,103.8878758
LOYANG PRIMARY SCHOOL,EAST 1,3 PASIR RIS DRIVE 6,519419,1.3708988,103.9562449
LOYANG SECONDARY SCHOOL,EAST 1,12 PASIR RIS STREET 11,519073,1.3664422,103.9575296
MACPHERSON PRIMARY SCHOOL,EAST 5,2 MATTAR ROAD,387724,1.3245444,103.8816298
MACPHERSON SECONDARY SCHOOL,EAST 5,121 CIRCUIT ROAD,379499,1.32785335,103.8890239
MAHA BODHI SCHOOL,EAST 7,10 UBI AVENUE 1,408931,1.32854225,103.9014995
MANJUSRI SECONDARY SCHOOL,EAST 7,20 UBI AVENUE 1,408940,1.3275407,103.9016916
MERIDIAN JUNIOR COLLEGE,EAST 1,21 Pasir Ris Street 71,518799,1.37620765,103.9379036
MERIDIAN PRIMARY SCHOOL,EAST 1,20 PASIR RIS ST 71,518798,1.3760329,103.935208
NGEE ANN PRIMARY SCHOOL,EAST 7,344 MARINE TERRACE,449149,1.30554595,103.9179133
NGEE ANN SECONDARY SCHOOL,EAST 6,1 TAMPINES STREET 32,529283,1.3543109,103.9566662
OASIS PRIMARY SCHOOL,EAST 3,71 Edgefield Plains,828716,1.4046935,103.9109984
OPERA ESTATE PRIMARY SCHOOL,EAST 7,48 FIDELIO STREET,458436,1.3197569,103.9240813
PARK VIEW PRIMARY SCHOOL,EAST 6,60 PASIR RIS DRIVE 1,519524,1.3776222,103.9392785
PASIR RIS CREST SECONDARY SCHOOL,EAST 1,11 PASIR RIS STREET 41,518934,1.3726966,103.9597766
PASIR RIS PRIMARY SCHOOL,EAST 6,5 PASIR RIS STREET 21,518968,1.37215285,103.9630263
PASIR RIS SECONDARY SCHOOL,EAST 6,390 TAMPINES STREET 21,529400,1.35470585,103.9485272
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),EAST 5,298 LORONG AH SOO,536741,1.34993195,103.8849238
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),EAST 5,296 LOR AH SOO,536742,1.350493702,103.8854702
PING YI SECONDARY SCHOOL,EAST 7,61 CHAI CHEE STREET,468980,1.3269904,103.9209644
POI CHING SCHOOL,EAST 1,21 TAMPINES STREET 71,529067,1.3577705,103.9354865
PUNGGOL COVE PRIMARY SCHOOL,EAST 1,52 Sumang Walk,828674,1.4116313,103.8991802
PUNGGOL GREEN PRIMARY SCHOOL,EAST 1,98 Punggol Walk,828772,1.40198075,103.8984923
PUNGGOL VIEW PRIMARY SCHOOL,EAST 1,9 Punggol Place,828845,1.4053286,103.9052782
RED SWASTIKA SCHOOL,EAST 2,350 BEDOK NORTH AVENUE 3,469719,1.3336412,103.9346186
SENGKANG GREEN PRIMARY SCHOOL,EAST 3,15 Fernvale Road,797636,1.39311055,103.8747641
SIGLAP SECONDARY SCHOOL,EAST 3,10 PASIR RIS DRIVE 10,519385,1.37991245,103.9393769
SPRINGDALE PRIMARY SCHOOL,EAST 3,71 Anchorvale Link,544799,1.3949768,103.8897766
SPRINGFIELD SECONDARY SCHOOL,EAST 3,30 TAMPINES AVENUE 8,529593,1.35001895,103.9299902
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,EAST 4,1602 BEDOK NORTH AVE 4,469701,1.33492125,103.940875
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,EAST 4,1600 BEDOK NORTH AVENUE 4,469700,1.3350627,103.94236
