BOWEN SECONDARY SCHOOL,NORTH 1,2 LORONG NAPIRI,547529
CHIJ ST. JOSEPH'S CONVENT,NORTH 1,62 SENG KANG EAST WAY,548595
NORTH VISTA PRIMARY SCHOOL,NORTH 1,20 Compassvale Link,544974
NORTH VISTA SECONDARY SCHOOL,NORTH 1,11 RIVERVALE LINK,545081
PALM VIEW PRIMARY SCHOOL,NORTH 1,150 Compassvale Bow,544822
RIVERVALE PRIMARY SCHOOL,NORTH 1,80 RIVERVALE DRIVE,545092
ROSYTH SCHOOL,NORTH 1,21 Serangoon North Avenue 4,555855
SENG KANG PRIMARY SCHOOL,NORTH 1,21 COMPASSVALE WALK,545166
SENG KANG SECONDARY SCHOOL,NORTH 1,10 COMPASSVALE LANE,545090
XINMIN PRIMARY SCHOOL,NORTH 1,9 HOUGANG AVENUE 8,538784
XINMIN SECONDARY SCHOOL,NORTH 1,11 HOUGANG AVENUE 8,538789
AHMAD IBRAHIM PRIMARY SCHOOL,NORTH 2,10 YISHUN STREET 11,768643
CHONGFU SCHOOL,NORTH 2,170 YISHUN AVENUE 6,768959
CHUNG CHENG HIGH SCHOOL (YISHUN),NORTH 2,11 YISHUN STREET 61,768547
JIEMIN PRIMARY SCHOOL,NORTH 2,2 YISHUN STREET 71,768515
NAVAL BASE SECONDARY SCHOOL,NORTH 2,901 YISHUN RING ROAD,768689
NORTH VIEW SECONDARY SCHOOL,NORTH 2,530 YISHUN RING ROAD,768680
NORTHLAND PRIMARY SCHOOL,NORTH 2,15 YISHUN AVENUE 4,769026
NORTHLAND SECONDARY SCHOOL,NORTH 2,3 YISHUN STREET 22,768578
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,NORTH 2,190 DUNEARN ROAD,309437
SINGAPORE CHINESE GIRLS' SCHOOL,NORTH 2,190 DUNEARN ROAD,309437
XISHAN PRIMARY SCHOOL,NORTH 2,8 YISHUN STREET 21,768611
YISHUN SECONDARY SCHOOL,NORTH 2,4 YISHUN STREET 71,768516
YISHUN TOWN SECONDARY SCHOOL,NORTH 2,6 YISHUN STREET 21,768610
ANCHOR GREEN PRIMARY SCHOOL,NORTH 3,31 Anchorvale Drive,544969
ANDERSON SECONDARY SCHOOL,NORTH 3,10 ANG MO KIO STREET 53,569206
CATHOLIC HIGH SCHOOL,NORTH 3,9 BISHAN STREET 22,579767
COMPASSVALE PRIMARY SCHOOL,NORTH 3,21 COMPASSVALE ST,545091
COMPASSVALE SECONDARY SCHOOL,NORTH 3,51 COMPASSVALE CRESCENT,545083
EDGEFIELD PRIMARY SCHOOL,NORTH 3,41 EDGEFIELD PLAINS,828869
EDGEFIELD SECONDARY SCHOOL,NORTH 3,36 PUNGGOL FIELD,828814
FERNVALE PRIMARY SCHOOL,NORTH 3,1 Fernvale Lane,797701
HOUGANG PRIMARY SCHOOL,NORTH 3,1 HOUGANG ST 93,534238
HOUGANG SECONDARY SCHOOL,NORTH 3,2 HOUGANG STREET 93,534256
PEI HWA SECONDARY SCHOOL,NORTH 3,21 FERNVALE LINK,797702
SERANGOON SECONDARY SCHOOL,NORTH 3,11 UPPER SERANGOON VIEW,534237
YIO CHU KANG PRIMARY SCHOOL,NORTH 3,1 HOUGANG STREET 51,538720
