school,zone,address,postal_code
ADMIRALTY PRIMARY SCHOOL,NORTH 5,11 WOODLANDS CIRCLE,738907
ADMIRALTY SECONDARY SCHOOL,NORTH 7,31 WOODLANDS CRESCENT,737916
AHMAD IBRAHIM PRIMARY SCHOOL,NORTH 2,10 YISHUN STREET 11,768643
AHMAD IBRAHIM SECONDARY SCHOOL,NORTH 8,751 YISHUN AVENUE 7,768928
AI TONG SCHOOL,SOUTH 7,100 Bright Hill Drive,579646
ALEXANDRA PRIMARY SCHOOL,SOUTH 4,2A Prince Charles Crescent,159016
ANCHOR GREEN PRIMARY SCHOOL,NORTH 3,31 Anchorvale Drive,544969
ANDERSON JUNIOR COLLEGE,NORTH 5,4500 ANG MO KIO AVENUE 6,569843
ANDERSON PRIMARY SCHOOL,NORTH 6,19 ANG MO KIO AVE 9 ANDERSON PRIMARY SCHOOL,569785
ANDERSON SECONDARY SCHOOL,NORTH 3,10 ANG MO KIO STREET 53,569206
ANG MO KIO PRIMARY SCHOOL,SOUTH 1,20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL,569920
ANG MO KIO SECONDARY SCHOOL,SOUTH 1,6 ANG MO KIO STREET 22,569362
ANGLICAN HIGH SCHOOL,EAST 4,600 UPPER CHANGI ROAD,487012
ANGLO-CHINESE JUNIOR COLLEGE,WEST 1,25 DOVER CLOSE EAST,139745
ANGLO-CHINESE SCHOOL (BARKER ROAD),SOUTH 3,60 BARKER ROAD,309919
ANGLO-CHINESE SCHOOL (INDEPENDENT),SOUTH 2,121 DOVER ROAD,139650
ANGLO-CHINESE SCHOOL (JUNIOR),SOUTH 5,16 WINSTEDT ROAD,227988
ANGLO-CHINESE SCHOOL (PRIMARY),SOUTH 3,50 BARKER ROAD,309918
ANGSANA PRIMARY SCHOOL,EAST 3,3 Tampines Street 22,529366
ASSUMPTION ENGLISH SCHOOL,WEST 6,622 Upper Bukit Timah Road Assumption English School,678117
ASSUMPTION PATHWAY SCHOOL,WEST 6,30 Cashew Road,679697
BALESTIER HILL PRIMARY SCHOOL,SOUTH 5,565 BALESTIER ROAD,329927
BALESTIER HILL SECONDARY SCHOOL,SOUTH 5,11 NOVENA RISE,307516
BARTLEY SECONDARY SCHOOL,SOUTH 6,10 JALAN BUNGA RAMPAI ROAD,538403
BEACON PRIMARY SCHOOL,WEST 6,36 Bukit Panjang Ring Road,679944
BEATTY SECONDARY SCHOOL,SOUTH 3,1 TOA PAYOH NORTH,318990
BEDOK GREEN PRIMARY SCHOOL,EAST 2,1 BEDOK SOUTH AVE 2,469317
BEDOK GREEN SECONDARY SCHOOL,EAST 2,360 BEDOK NORTH AVE 3,469722
BEDOK NORTH SECONDARY SCHOOL,EAST 4,20 JALAN DAMAI,419612
BEDOK SOUTH SECONDARY SCHOOL,EAST 2,1 JALAN LANGGAR BEDOK,468585
BEDOK VIEW SECONDARY SCHOOL,EAST 2,6 BEDOK SOUTH AVENUE 3,469293
BENDEMEER PRIMARY SCHOOL,SOUTH 5,91 BENDEMEER ROAD,339948
BENDEMEER SECONDARY SCHOOL,SOUTH 5,1 ST WILFRED ROAD,327919
BISHAN PARK SECONDARY SCHOOL,SOUTH 7,2 SIN MING WALK,575565
BLANGAH RISE PRIMARY SCHOOL,SOUTH 2,91 TELOK BLANGAH HEIGHTS,109100
BOON LAY GARDEN PRIMARY SCHOOL,WEST 8,20 BOON LAY DRIVE,649930
BOON LAY SECONDARY SCHOOL,WEST 3,11 JURONG WEST STREET 65,648354
BOWEN SECONDARY SCHOOL,NORTH 1,2 LORONG NAPIRI,547529
BROADRICK SECONDARY SCHOOL,EAST 5,61 DAKOTA CRESCENT,399935
BUKIT BATOK SECONDARY SCHOOL,WEST 7,50 BUKIT BATOK WEST AVE 8,658962
BUKIT MERAH SECONDARY SCHOOL,SOUTH 4,10 LENGKOK BAHRU,159050
BUKIT PANJANG GOVT. HIGH SCHOOL,WEST 5,7 CHOA CHU KANG AVE 4,689809
