ANG MO KIO PRIMARY SCHOOL,SOUTH 1,20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL,569920,1.3691042,103.8393294
ANG MO KIO SECONDARY SCHOOL,SOUTH 1,6 ANG MO KIO STREET 22,569362,1.3676706,103.8425942
AI TONG SCHOOL,SOUTH 7,100 Bright Hill Drive,579646,1.3605246,103.8329367
ALEXANDRA PRIMARY SCHOOL,SOUTH 4,2A Prince Charles Crescent,159016,1.2912837,103.8240659
ANGLO-CHINESE SCHOOL (BARKER ROAD),SOUTH 3,60 BARKER ROAD,309919,1.3187208,103.83508
ANGLO-CHINESE SCHOOL (INDEPENDENT),SOUTH 2,121 DOVER ROAD,139650,1.30289155,103.7805415
ANGLO-CHINESE SCHOOL (JUNIOR),SOUTH 5,16 WINSTEDT ROAD,227988,1.3090244,103.8414047
ANGLO-CHINESE SCHOOL (PRIMARY),SOUTH 3,50 BARKER ROAD,309918,1.3187208,103.83508
BALESTIER HILL PRIMARY SCHOOL,SOUTH 5,565 BALESTIER ROAD,329927,1.325701,103.8444596
BALESTIER HILL SECONDARY SCHOOL,SOUTH 5,11 NOVENA RISE,307516,1.325198,103.8442032
BARTLEY SECONDARY SCHOOL,SOUTH 6,10 JALAN BUNGA RAMPAI ROAD,538403,1.34035665,103.8827443
BEATTY SECONDARY SCHOOL,SOUTH 3,1 TOA PAYOH NORTH,318990,1.3417784,103.8522924
BENDEMEER PRIMARY SCHOOL,SOUTH 5,91 BENDEMEER ROAD,339948,1.3221473,103.8650239
BENDEMEER SECONDARY SCHOOL,SOUTH 5,1 ST WILFRED ROAD,327919,1.3244489,103.8607825
BISHAN PARK SECONDARY SCHOOL,SOUTH 7,2 SIN MING WALK,575565,1.36480145,103.8334863
BLANGAH RISE PRIMARY SCHOOL,SOUTH 2,91 TELOK BLANGAH HEIGHTS,109100,1.2765292,103.809126
BUKIT MERAH SECONDARY SCHOOL,SOUTH 4,10 LENGKOK BAHRU,159050,1.28601535,103.8129789
CANTONMENT PRIMARY SCHOOL,SOUTH 2,1 Cantonment Close,88256,1.2758142,103.8398884
CATHOLIC JUNIOR COLLEGE,SOUTH 5,129 WHITLEY ROAD,297822,1.3252735,103.8353628
